Date,Nifty50_Open ,Nifty50_High,Nifty50_Low,Nifty50_Close,Nifty50_Shares Traded,Nifty50_Turnover (? Cr),Bank_Open ,Bank_High ,Bank_Low,Bank_Close,Bank_Shares Traded,Bank_Turnover (? Cr),Next_Date,Next_Nifty50_Open ,Next_Nifty50_High,Next_Nifty50_Low,Next_Nifty50_Close,Next_Nifty50_Shares Traded,Next_Nifty50_Turnover (? Cr),Next_Bank_Open ,Next_Bank_High ,Next_Bank_Low,Next_Bank_Close,Next_Bank_Shares Traded,Next_Bank_Turnover (? Cr)
15-May-23,18339.3,18458.9,18287.9,18398.85,216088535,19329.75,43821.05,44151.7,43666.6,44072.1,161260256,6189.39,16-May-23,18432.35,18432.35,18264.35,18286.5,219490491,21063.78,44144.15,44144.15,43815.7,43903.7,222536217,10093.99
16-May-23,18432.35,18432.35,18264.35,18286.5,219490491,21063.78,44144.15,44144.15,43815.7,43903.7,222536217,10093.99,17-May-23,18300.45,18309,18115.35,18181.75,229898510,20903.12,43948.5,43992.75,43446.4,43698.7,203597921,9812.19
17-May-23,18300.45,18309,18115.35,18181.75,229898510,20903.12,43948.5,43992.75,43446.4,43698.7,203597921,9812.19,18-May-23,18287.5,18297.2,18104.85,18129.95,272103515,24172.44,44006.9,44079.2,43673.7,43752.3,226492176,12657.89
18-May-23,18287.5,18297.2,18104.85,18129.95,272103515,24172.44,44006.9,44079.2,43673.7,43752.3,226492176,12657.89,19-May-23,18186.15,18218.1,18060.4,18203.4,260898407,22105.67,43930,44020.9,43531.9,43969.4,192042449,9384.53
19-May-23,18186.15,18218.1,18060.4,18203.4,260898407,22105.67,43930,44020.9,43531.9,43969.4,192042449,9384.53,22-May-23,18201.1,18335.25,18178.85,18314.4,262560942,25147.58,43935.3,44026.75,43684.9,43885.1,183783537,8083.39
22-May-23,18201.1,18335.25,18178.85,18314.4,262560942,25147.58,43935.3,44026.75,43684.9,43885.1,183783537,8083.39,23-May-23,18362.9,18419.75,18324.2,18348,270354216,28648.15,43978.9,44095.25,43852.2,43954.45,142021247,7352.99
23-May-23,18362.9,18419.75,18324.2,18348,270354216,28648.15,43978.9,44095.25,43852.2,43954.45,142021247,7352.99,24-May-23,18294.8,18392.6,18262.95,18285.4,232621507,24273.17,43751.95,44010.45,43639.8,43677.85,148625634,8248.12
24-May-23,18294.8,18392.6,18262.95,18285.4,232621507,24273.17,43751.95,44010.45,43639.8,43677.85,148625634,8248.12,25-May-23,18268.9,18338.1,18202.4,18321.15,235915651,22411.41,43630.25,43719.85,43390.3,43681.4,170186160,8602.95
25-May-23,18268.9,18338.1,18202.4,18321.15,235915651,22411.41,43630.25,43719.85,43390.3,43681.4,170186160,8602.95,26-May-23,18368.35,18508.55,18333.15,18499.35,198668359,19094.08,43765.35,44067.6,43588.8,44018,143222738,6120.71
26-May-23,18368.35,18508.55,18333.15,18499.35,198668359,19094.08,43765.35,44067.6,43588.8,44018,143222738,6120.71,29-May-23,18619.15,18641.2,18581.25,18598.65,265323978,19237.57,44276.8,44483.35,44193.95,44311.9,148580468,6899.27
29-May-23,18619.15,18641.2,18581.25,18598.65,265323978,19237.57,44276.8,44483.35,44193.95,44311.9,148580468,6899.27,30-May-23,18606.65,18662.45,18575.5,18633.85,234391323,21660.69,44277.35,44498.6,44207.5,44436.35,157593352,9002.94
30-May-23,18606.65,18662.45,18575.5,18633.85,234391323,21660.69,44277.35,44498.6,44207.5,44436.35,157593352,9002.94,31-May-23,18594.2,18603.9,18483.85,18534.4,696495765,70755.08,44318,44339.05,43822.7,44128.15,305745119,30474.33
31-May-23,18594.2,18603.9,18483.85,18534.4,696495765,70755.08,44318,44339.05,43822.7,44128.15,305745119,30474.33,01-Jun-23,18579.4,18580.3,18464.55,18487.75,265630759,24056.99,44172.05,44179.95,43706.15,43790.2,182945759,10854.82
01-Jun-23,18579.4,18580.3,18464.55,18487.75,265630759,24056.99,44172.05,44179.95,43706.15,43790.2,182945759,10854.82,02-Jun-23,18550.85,18573.7,18478.4,18534.1,270923679,23171.88,43997.3,44088.9,43812.55,43937.85,123851342,6150.87
02-Jun-23,18550.85,18573.7,18478.4,18534.1,270923679,23171.88,43997.3,44088.9,43812.55,43937.85,123851342,6150.87,05-Jun-23,18612,18640.15,18582.8,18593.85,256111496,20369.16,44103.25,44266.15,44074.2,44101.65,124513498,6395.22
05-Jun-23,18612,18640.15,18582.8,18593.85,256111496,20369.16,44103.25,44266.15,44074.2,44101.65,124513498,6395.22,06-Jun-23,18600.8,18622.75,18531.6,18599,220789926,21957.47,44156.7,44236.2,44009.7,44164.55,123561408,7703.56
06-Jun-23,18600.8,18622.75,18531.6,18599,220789926,21957.47,44156.7,44236.2,44009.7,44164.55,123561408,7703.56,07-Jun-23,18665.6,18738.95,18636,18726.4,260109671,21482.77,44318.7,44346.3,44143.5,44275.3,119216872,7450.27
07-Jun-23,18665.6,18738.95,18636,18726.4,260109671,21482.77,44318.7,44346.3,44143.5,44275.3,119216872,7450.27,08-Jun-23,18725.35,18777.9,18615.6,18634.55,286468927,22762.3,44208.3,44459.25,43917.9,43995.25,160157265,9066.63
08-Jun-23,18725.35,18777.9,18615.6,18634.55,286468927,22762.3,44208.3,44459.25,43917.9,43995.25,160157265,9066.63,09-Jun-23,18655.9,18676.65,18555.4,18563.4,221760885,20181.42,44045.75,44220.1,43932.6,43989,132310915,8922.34
09-Jun-23,18655.9,18676.65,18555.4,18563.4,221760885,20181.42,44045.75,44220.1,43932.6,43989,132310915,8922.34,12-Jun-23,18595.05,18633.6,18559.75,18601.5,179463966,15386.04,44035.2,44124.95,43874.05,43944.2,91412250,4657.88
12-Jun-23,18595.05,18633.6,18559.75,18601.5,179463966,15386.04,44035.2,44124.95,43874.05,43944.2,91412250,4657.88,13-Jun-23,18631.8,18728.9,18631.8,18716.15,233167883,22612.62,43889.7,44138.15,43889.7,44079.85,160045490,9026.03
13-Jun-23,18631.8,18728.9,18631.8,18716.15,233167883,22612.62,43889.7,44138.15,43889.7,44079.85,160045490,9026.03,14-Jun-23,18744.6,18769.7,18690,18755.9,261354575,19520.08,44181.65,44212.35,43956.15,43988,154599371,6902.13
14-Jun-23,18744.6,18769.7,18690,18755.9,261354575,19520.08,44181.65,44212.35,43956.15,43988,154599371,6902.13,15-Jun-23,18774.45,18794.1,18669.05,18688.1,263004991,24820.77,44054.35,44077.45,43397.5,43443.6,228184460,10402.67
15-Jun-23,18774.45,18794.1,18669.05,18688.1,263004991,24820.77,44054.35,44077.45,43397.5,43443.6,228184460,10402.67,16-Jun-23,18723.3,18864.7,18710.5,18826,272771256,28877.67,43583.35,44083.25,43536.95,43938.15,234688714,6524.62
16-Jun-23,18723.3,18864.7,18710.5,18826,272771256,28877.67,43583.35,44083.25,43536.95,43938.15,234688714,6524.62,19-Jun-23,18873.3,18881.45,18719.15,18755.45,219815214,22699.84,44015.3,44040.35,43501.4,43633.75,234897358,9396.05
19-Jun-23,18873.3,18881.45,18719.15,18755.45,219815214,22699.84,44015.3,44040.35,43501.4,43633.75,234897358,9396.05,20-Jun-23,18752.35,18839.7,18660.65,18816.7,211649257,19687.08,43597.55,43823.95,43345.95,43766.5,161879136,6951.08
20-Jun-23,18752.35,18839.7,18660.65,18816.7,211649257,19687.08,43597.55,43823.95,43345.95,43766.5,161879136,6951.08,21-Jun-23,18849.4,18875.9,18794.85,18856.85,217481345,19102.48,43894.4,43946.7,43698.95,43859.2,179991909,6449.9
21-Jun-23,18849.4,18875.9,18794.85,18856.85,217481345,19102.48,43894.4,43946.7,43698.95,43859.2,179991909,6449.9,22-Jun-23,18853.6,18886.6,18759.5,18771.25,252697871,24990.87,43874.8,44042.15,43663.35,43724.85,263760682,11850.43
22-Jun-23,18853.6,18886.6,18759.5,18771.25,252697871,24990.87,43874.8,44042.15,43663.35,43724.85,263760682,11850.43,23-Jun-23,18741.85,18756.4,18647.1,18665.5,210562119,20619.6,43641.6,43824.1,43519.55,43622.9,161308806,6132.03
23-Jun-23,18741.85,18756.4,18647.1,18665.5,210562119,20619.6,43641.6,43824.1,43519.55,43622.9,161308806,6132.03,26-Jun-23,18682.35,18722.05,18646.7,18691.2,171271325,17355.14,43714.75,43773.1,43541.75,43641.05,120687324,5075.61
26-Jun-23,18682.35,18722.05,18646.7,18691.2,171271325,17355.14,43714.75,43773.1,43541.75,43641.05,120687324,5075.61,27-Jun-23,18748.55,18829.25,18714.25,18817.4,222464605,21415.89,43804.55,44194.65,43693.15,44121.5,137304064,6984.16
27-Jun-23,18748.55,18829.25,18714.25,18817.4,222464605,21415.89,43804.55,44194.65,43693.15,44121.5,137304064,6984.16,28-Jun-23,18908.15,19011.25,18861.35,18972.1,398782019,37356.94,44419.5,44508.4,44163.2,44327.8,243833321,12900.23
28-Jun-23,18908.15,19011.25,18861.35,18972.1,398782019,37356.94,44419.5,44508.4,44163.2,44327.8,243833321,12900.23,30-Jun-23,19076.85,19201.7,19024.6,19189.05,247906587,26376.62,44666,44787.1,44447.2,44747.35,191257943,8995.82
30-Jun-23,19076.85,19201.7,19024.6,19189.05,247906587,26376.62,44666,44787.1,44447.2,44747.35,191257943,8995.82,03-Jul-23,19246.5,19345.1,19234.4,19322.55,226050219,22681.54,44957.95,45353.2,44882.1,45158.1,228168358,9243.6
03-Jul-23,19246.5,19345.1,19234.4,19322.55,226050219,22681.54,44957.95,45353.2,44882.1,45158.1,228168358,9243.6,04-Jul-23,19406.6,19434.15,19300,19389,226916635,26634.06,45310.55,45655.5,45000.25,45301.45,462969627,11991.7
04-Jul-23,19406.6,19434.15,19300,19389,226916635,26634.06,45310.55,45655.5,45000.25,45301.45,462969627,11991.7,05-Jul-23,19405.95,19421.6,19339.6,19398.5,224418797,24699.24,45169.7,45418.9,45073.4,45151.8,366287666,10661.77
05-Jul-23,19405.95,19421.6,19339.6,19398.5,224418797,24699.24,45169.7,45418.9,45073.4,45151.8,366287666,10661.77,06-Jul-23,19385.7,19512.2,19373,19497.3,268261285,28540.18,45060.55,45417.5,45042.6,45339.9,244924069,10612.41
06-Jul-23,19385.7,19512.2,19373,19497.3,268261285,28540.18,45060.55,45417.5,45042.6,45339.9,244924069,10612.41,07-Jul-23,19422.8,19523.6,19303.6,19331.8,237102566,23089.25,45118.05,45227.25,44844.8,44925,220933310,6423.58
07-Jul-23,19422.8,19523.6,19303.6,19331.8,237102566,23089.25,45118.05,45227.25,44844.8,44925,220933310,6423.58,10-Jul-23,19400.35,19435.85,19327.1,19355.9,268246132,25991.55,44958.65,45184.3,44721.9,44860.85,220868631,8211.64
10-Jul-23,19400.35,19435.85,19327.1,19355.9,268246132,25991.55,44958.65,45184.3,44721.9,44860.85,220868631,8211.64,11-Jul-23,19427.1,19515.1,19406.45,19439.4,251263638,26883.78,44998,45139.55,44663.05,44745.05,208991985,10144.86
11-Jul-23,19427.1,19515.1,19406.45,19439.4,251263638,26883.78,44998,45139.55,44663.05,44745.05,208991985,10144.86,12-Jul-23,19497.45,19507.7,19361.75,19384.3,327941559,40163.14,44872.6,44937.25,44562.4,44639.45,233078214,13001.64
12-Jul-23,19497.45,19507.7,19361.75,19384.3,327941559,40163.14,44872.6,44937.25,44562.4,44639.45,233078214,13001.64,13-Jul-23,19495.2,19567,19385.8,19413.75,310442517,27244.56,45009.3,45085.15,44612.2,44665.05,336819265,12694.9
13-Jul-23,19495.2,19567,19385.8,19413.75,310442517,27244.56,45009.3,45085.15,44612.2,44665.05,336819265,12694.9,14-Jul-23,19493.45,19595.35,19433.5,19564.5,291165841,25484.44,44860.65,44923.85,44547.8,44819.3,196327724,8116.45
14-Jul-23,19493.45,19595.35,19433.5,19564.5,291165841,25484.44,44860.65,44923.85,44547.8,44819.3,196327724,8116.45,17-Jul-23,19612.15,19731.85,19562.95,19711.45,268707894,25975.57,44951.2,45556.45,44695.05,45449.75,245926389,11035.15
17-Jul-23,19612.15,19731.85,19562.95,19711.45,268707894,25975.57,44951.2,45556.45,44695.05,45449.75,245926389,11035.15,18-Jul-23,19787.5,19819.45,19690.2,19749.25,286353897,33269.08,45754.8,45905.85,45281.3,45410.85,307330861,16309.6
18-Jul-23,19787.5,19819.45,19690.2,19749.25,286353897,33269.08,45754.8,45905.85,45281.3,45410.85,307330861,16309.6,19-Jul-23,19802.95,19851.7,19727.45,19833.15,259660464,26447.9,45622.5,45707.4,45433,45669.3,261049956,9903.75
19-Jul-23,19802.95,19851.7,19727.45,19833.15,259660464,26447.9,45622.5,45707.4,45433,45669.3,261049956,9903.75,20-Jul-23,19831.7,19991.85,19758.4,19979.15,274698867,30622.66,45689.05,46256.2,45640.95,46186.9,315179894,15550.1
20-Jul-23,19831.7,19991.85,19758.4,19979.15,274698867,30622.66,45689.05,46256.2,45640.95,46186.9,315179894,15550.1,21-Jul-23,19800.45,19887.4,19700,19745,312461795,33802.14,46063.95,46369.5,45925.9,46075.2,235593414,10250.66
21-Jul-23,19800.45,19887.4,19700,19745,312461795,33802.14,46063.95,46369.5,45925.9,46075.2,235593414,10250.66,24-Jul-23,19748.45,19782.75,19658.3,19672.35,265562151,24522.29,46131.9,46191.5,45858.75,45923.05,225835415,10127.18
24-Jul-23,19748.45,19782.75,19658.3,19672.35,265562151,24522.29,46131.9,46191.5,45858.75,45923.05,225835415,10127.18,25-Jul-23,19729.35,19729.35,19615.95,19680.6,369653496,29665.67,46154.7,46156.1,45622.85,45845,228145332,13407.44
25-Jul-23,19729.35,19729.35,19615.95,19680.6,369653496,29665.67,46154.7,46156.1,45622.85,45845,228145332,13407.44,26-Jul-23,19733.35,19825.6,19716.7,19778.3,244747425,23023.86,45935.15,46096.6,45804.7,46062.35,298409899,7779.64
26-Jul-23,19733.35,19825.6,19716.7,19778.3,244747425,23023.86,45935.15,46096.6,45804.7,46062.35,298409899,7779.64,27-Jul-23,19850.9,19867.55,19603.55,19659.9,334891351,35019.13,46285.85,46310.1,45570.65,45679.3,320421936,14491.84
27-Jul-23,19850.9,19867.55,19603.55,19659.9,334891351,35019.13,46285.85,46310.1,45570.65,45679.3,320421936,14491.84,28-Jul-23,19659.75,19695.9,19563.1,19646.05,258671382,22995.98,45560.9,45727.75,45238.8,45468.1,194666588,8389.2
28-Jul-23,19659.75,19695.9,19563.1,19646.05,258671382,22995.98,45560.9,45727.75,45238.8,45468.1,194666588,8389.2,31-Jul-23,19666.35,19772.75,19597.6,19753.8,295053318,23075.38,45546.35,45694.9,45359.75,45651.1,247859113,8729.51
31-Jul-23,19666.35,19772.75,19597.6,19753.8,295053318,23075.38,45546.35,45694.9,45359.75,45651.1,247859113,8729.51,01-Aug-23,19784,19795.6,19704.6,19733.55,298048161,24554.71,45740,45782.75,45471.05,45592.5,175242040,8546.57
01-Aug-23,19784,19795.6,19704.6,19733.55,298048161,24554.71,45740,45782.75,45471.05,45592.5,175242040,8546.57,02-Aug-23,19655.4,19678.25,19423.55,19526.55,290666798,23997.47,45234.65,45404.9,44720.9,44995.7,233601314,8677.17
02-Aug-23,19655.4,19678.25,19423.55,19526.55,290666798,23997.47,45234.65,45404.9,44720.9,44995.7,233601314,8677.17,03-Aug-23,19463.75,19537.65,19296.45,19381.65,315688612,29899.38,44862.85,45038.45,44279.4,44513.45,245769556,14309.39
03-Aug-23,19463.75,19537.65,19296.45,19381.65,315688612,29899.38,44862.85,45038.45,44279.4,44513.45,245769556,14309.39,04-Aug-23,19462.8,19538.85,19436.45,19517,280799561,28086.15,44754.75,45118.05,44520.55,44879.5,245171463,12540.56
04-Aug-23,19462.8,19538.85,19436.45,19517,280799561,28086.15,44754.75,45118.05,44520.55,44879.5,245171463,12540.56,07-Aug-23,19576.85,19620.45,19524.8,19597.3,216586074,21655.87,44993.7,45011.35,44773.85,44837.5,200781677,9590.15
07-Aug-23,19576.85,19620.45,19524.8,19597.3,216586074,21655.87,44993.7,45011.35,44773.85,44837.5,200781677,9590.15,08-Aug-23,19627.2,19634.4,19533.1,19570.85,260294052,25437.47,44888.95,45096.85,44817.85,44964.45,229405682,11285.94
08-Aug-23,19627.2,19634.4,19533.1,19570.85,260294052,25437.47,44888.95,45096.85,44817.85,44964.45,229405682,11285.94,09-Aug-23,19578.8,19645.5,19467.5,19632.55,266495074,23201.75,44973.45,44975,44533.75,44880.7,177283295,8244.22
09-Aug-23,19578.8,19645.5,19467.5,19632.55,266495074,23201.75,44973.45,44975,44533.75,44880.7,177283295,8244.22,10-Aug-23,19605.55,19623.6,19495.4,19543.1,312193785,29430.34,44797.65,44980.35,44418.4,44541.8,232038617,12500.78
10-Aug-23,19605.55,19623.6,19495.4,19543.1,312193785,29430.34,44797.65,44980.35,44418.4,44541.8,232038617,12500.78,11-Aug-23,19554.25,19557.75,19412.75,19428.3,235524048,24521.24,44568.15,44571.25,44120.9,44199.1,196900504,8398.35
11-Aug-23,19554.25,19557.75,19412.75,19428.3,235524048,24521.24,44568.15,44571.25,44120.9,44199.1,196900504,8398.35,14-Aug-23,19383.95,19465.85,19257.9,19434.55,243850815,22767.43,44066.6,44212.75,43776.9,44090.95,172325405,8565.67
14-Aug-23,19383.95,19465.85,19257.9,19434.55,243850815,22767.43,44066.6,44212.75,43776.9,44090.95,172325405,8565.67,16-Aug-23,19369,19482.75,19317.2,19465,226627230,21484.66,43726.25,44002.8,43600.35,43946.4,159009616,7794.15
16-Aug-23,19369,19482.75,19317.2,19465,226627230,21484.66,43726.25,44002.8,43600.35,43946.4,159009616,7794.15,17-Aug-23,19450.55,19461.55,19326.25,19365.25,268663456,26505.65,43897.25,44071.85,43745.1,43891.35,266374133,12388.63
17-Aug-23,19450.55,19461.55,19326.25,19365.25,268663456,26505.65,43897.25,44071.85,43745.1,43891.35,266374133,12388.63,18-Aug-23,19301.75,19373.8,19253.6,19310.15,256142364,25641.41,43724.75,43957.65,43672.45,43851.05,167584420,7299.32
18-Aug-23,19301.75,19373.8,19253.6,19310.15,256142364,25641.41,43724.75,43957.65,43672.45,43851.05,167584420,7299.32,21-Aug-23,19320.65,19425.95,19296.3,19393.6,262589133,20738.75,43952.85,44113.8,43862,44002,126311003,6152.35
21-Aug-23,19320.65,19425.95,19296.3,19393.6,262589133,20738.75,43952.85,44113.8,43862,44002,126311003,6152.35,22-Aug-23,19417.1,19443.5,19381.3,19396.45,208704354,20226.48,44125,44151.3,43938.7,43993.25,160746391,7997.31
22-Aug-23,19417.1,19443.5,19381.3,19396.45,208704354,20226.48,44125,44151.3,43938.7,43993.25,160746391,7997.31,23-Aug-23,19439.2,19472.05,19366.6,19444,225214991,20167.16,44064.5,44521.65,43952.05,44479.05,212380487,9264.63
23-Aug-23,19439.2,19472.05,19366.6,19444,225214991,20167.16,44064.5,44521.65,43952.05,44479.05,212380487,9264.63,24-Aug-23,19535.15,19584.45,19369,19386.7,268256859,24338.24,44704.2,44949.9,44433.75,44496.2,220421097,11640.43
24-Aug-23,19535.15,19584.45,19369,19386.7,268256859,24338.24,44704.2,44949.9,44433.75,44496.2,220421097,11640.43,25-Aug-23,19297.4,19339.55,19229.7,19265.8,466518217,24998.12,44276.2,44359.1,43983.75,44231.45,152511949,6418.26
25-Aug-23,19297.4,19339.55,19229.7,19265.8,466518217,24998.12,44276.2,44359.1,43983.75,44231.45,152511949,6418.26,28-Aug-23,19298.35,19366.85,19249.7,19306.05,248178769,18237.22,44253.65,44610.4,44201.45,44494.65,162966392,6459.5
28-Aug-23,19298.35,19366.85,19249.7,19306.05,248178769,18237.22,44253.65,44610.4,44201.45,44494.65,162966392,6459.5,29-Aug-23,19374.85,19377.9,19309.1,19342.65,307388116,22501.12,44655.75,44673,44429.8,44495.25,140261809,7348.76
29-Aug-23,19374.85,19377.9,19309.1,19342.65,307388116,22501.12,44655.75,44673,44429.8,44495.25,140261809,7348.76,30-Aug-23,19433.45,19452.8,19334.75,19347.45,233004568,19877.49,44706.55,44779.65,44149.8,44232.6,153146734,7120.71
30-Aug-23,19433.45,19452.8,19334.75,19347.45,233004568,19877.49,44706.55,44779.65,44149.8,44232.6,153146734,7120.71,31-Aug-23,19375.55,19388.2,19223.65,19253.8,562557215,45699.54,44265.85,44399.65,43895.05,43989.15,705076481,22944.35
31-Aug-23,19375.55,19388.2,19223.65,19253.8,562557215,45699.54,44265.85,44399.65,43895.05,43989.15,705076481,22944.35,01-Sep-23,19258.15,19458.55,19255.7,19435.3,372502191,25962.38,43996.1,44568.55,43830.75,44436.1,320777071,10328.28
01-Sep-23,19258.15,19458.55,19255.7,19435.3,372502191,25962.38,43996.1,44568.55,43830.75,44436.1,320777071,10328.28,04-Sep-23,19525.05,19545.15,19432.85,19528.8,396071122,24822.79,44647.65,44656.05,44310.95,44578.3,238633547,7239.65
04-Sep-23,19525.05,19545.15,19432.85,19528.8,396071122,24822.79,44647.65,44656.05,44310.95,44578.3,238633547,7239.65,05-Sep-23,19564.65,19587.05,19525.75,19574.9,303958622,24029.89,44625.05,44668.7,44401.7,44532.15,225502820,9163
05-Sep-23,19564.65,19587.05,19525.75,19574.9,303958622,24029.89,44625.05,44668.7,44401.7,44532.15,225502820,9163,06-Sep-23,19581.2,19636.45,19491.5,19611.05,512974083,32500.52,44494.65,44577,44207.25,44409.1,252042492,13586.52
